time,local_time,electricity
1/1/2014 0:00,1/1/2014 1:00,0.302
1/1/2014 1:00,1/1/2014 2:00,0.267
1/1/2014 2:00,1/1/2014 3:00,0.249
1/1/2014 3:00,1/1/2014 4:00,0.252
1/1/2014 4:00,1/1/2014 5:00,0.225
1/1/2014 5:00,1/1/2014 6:00,0.212
1/1/2014 6:00,1/1/2014 7:00,0.213
1/1/2014 7:00,1/1/2014 8:00,0.216
1/1/2014 8:00,1/1/2014 9:00,0.207
1/1/2014 9:00,1/1/2014 10:00,0.199
1/1/2014 10:00,1/1/2014 11:00,0.176
1/1/2014 11:00,1/1/2014 12:00,0.154
1/1/2014 12:00,1/1/2014 13:00,0.141
1/1/2014 13:00,1/1/2014 14:00,0.162
1/1/2014 14:00,1/1/2014 15:00,0.22
1/1/2014 15:00,1/1/2014 16:00,0.278
1/1/2014 16:00,1/1/2014 17:00,0.305
1/1/2014 17:00,1/1/2014 18:00,0.311
1/1/2014 18:00,1/1/2014 19:00,0.3
1/1/2014 19:00,1/1/2014 20:00,0.311
1/1/2014 20:00,1/1/2014 21:00,0.337
1/1/2014 21:00,1/1/2014 22:00,0.337
1/1/2014 22:00,1/1/2014 23:00,0.332
1/1/2014 23:00,1/2/2014 0:00,0.337
1/2/2014 0:00,1/2/2014 1:00,0.337
1/2/2014 1:00,1/2/2014 2:00,0.332
1/2/2014 2:00,1/2/2014 3:00,0.364
1/2/2014 3:00,1/2/2014 4:00,0.373
1/2/2014 4:00,1/2/2014 5:00,0.37
1/2/2014 5:00,1/2/2014 6:00,0.359
1/2/2014 6:00,1/2/2014 7:00,0.352
1/2/2014 7:00,1/2/2014 8:00,0.364
1/2/2014 8:00,1/2/2014 9:00,0.38
1/2/2014 9:00,1/2/2014 10:00,0.441
1/2/2014 10:00,1/2/2014 11:00,0.461
1/2/2014 11:00,1/2/2014 12:00,0.431
1/2/2014 12:00,1/2/2014 13:00,0.398
1/2/2014 13:00,1/2/2014 14:00,0.367
1/2/2014 14:00,1/2/2014 15:00,0.384
1/2/2014 15:00,1/2/2014 16:00,0.4
1/2/2014 16:00,1/2/2014 17:00,0.44
1/2/2014 17:00,1/2/2014 18:00,0.443
1/2/2014 18:00,1/2/2014 19:00,0.408
1/2/2014 19:00,1/2/2014 20:00,0.358
1/2/2014 20:00,1/2/2014 21:00,0.308
1/2/2014 21:00,1/2/2014 22:00,0.283
1/2/2014 22:00,1/2/2014 23:00,0.265
1/2/2014 23:00,1/3/2014 0:00,0.249
1/3/2014 0:00,1/3/2014 1:00,0.221
1/3/2014 1:00,1/3/2014 2:00,0.216
1/3/2014 2:00,1/3/2014 3:00,0.206
1/3/2014 3:00,1/3/2014 4:00,0.192
1/3/2014 4:00,1/3/2014 5:00,0.219
1/3/2014 5:00,1/3/2014 6:00,0.238
1/3/2014 6:00,1/3/2014 7:00,0.259
1/3/2014 7:00,1/3/2014 8:00,0.305
1/3/2014 8:00,1/3/2014 9:00,0.34
1/3/2014 9:00,1/3/2014 10:00,0.345
1/3/2014 10:00,1/3/2014 11:00,0.344
1/3/2014 11:00,1/3/2014 12:00,0.432
1/3/2014 12:00,1/3/2014 13:00,0.488
1/3/2014 13:00,1/3/2014 14:00,0.483
1/3/2014 14:00,1/3/2014 15:00,0.442
1/3/2014 15:00,1/3/2014 16:00,0.425
1/3/2014 16:00,1/3/2014 17:00,0.491
1/3/2014 17:00,1/3/2014 18:00,0.513
1/3/2014 18:00,1/3/2014 19:00,0.504
1/3/2014 19:00,1/3/2014 20:00,0.491
1/3/2014 20:00,1/3/2014 21:00,0.495
1/3/2014 21:00,1/3/2014 22:00,0.494
1/3/2014 22:00,1/3/2014 23:00,0.454
1/3/2014 23:00,1/4/2014 0:00,0.519
1/4/2014 0:00,1/4/2014 1:00,0.53
1/4/2014 1:00,1/4/2014 2:00,0.49
1/4/2014 2:00,1/4/2014 3:00,0.407
1/4/2014 3:00,1/4/2014 4:00,0.337
1/4/2014 4:00,1/4/2014 5:00,0.3
1/4/2014 5:00,1/4/2014 6:00,0.281
1/4/2014 6:00,1/4/2014 7:00,0.268
1/4/2014 7:00,1/4/2014 8:00,0.227
1/4/2014 8:00,1/4/2014 9:00,0.189
1/4/2014 9:00,1/4/2014 10:00,0.172
1/4/2014 10:00,1/4/2014 11:00,0.212
1/4/2014 11:00,1/4/2014 12:00,0.228
1/4/2014 12:00,1/4/2014 13:00,0.175
