time,local_time,electricity
1/1/2014 0:00,1/1/2014 1:00,0.519
1/1/2014 1:00,1/1/2014 2:00,0.5
1/1/2014 2:00,1/1/2014 3:00,0.525
1/1/2014 3:00,1/1/2014 4:00,0.515
1/1/2014 4:00,1/1/2014 5:00,0.518
1/1/2014 5:00,1/1/2014 6:00,0.507
1/1/2014 6:00,1/1/2014 7:00,0.495
1/1/2014 7:00,1/1/2014 8:00,0.468
1/1/2014 8:00,1/1/2014 9:00,0.434
1/1/2014 9:00,1/1/2014 10:00,0.44
1/1/2014 10:00,1/1/2014 11:00,0.394
1/1/2014 11:00,1/1/2014 12:00,0.343
1/1/2014 12:00,1/1/2014 13:00,0.314
1/1/2014 13:00,1/1/2014 14:00,0.31
1/1/2014 14:00,1/1/2014 15:00,0.329
1/1/2014 15:00,1/1/2014 16:00,0.355
1/1/2014 16:00,1/1/2014 17:00,0.406
1/1/2014 17:00,1/1/2014 18:00,0.437
1/1/2014 18:00,1/1/2014 19:00,0.462
1/1/2014 19:00,1/1/2014 20:00,0.503
1/1/2014 20:00,1/1/2014 21:00,0.526
1/1/2014 21:00,1/1/2014 22:00,0.532
1/1/2014 22:00,1/1/2014 23:00,0.569
1/1/2014 23:00,1/2/2014 0:00,0.615
1/2/2014 0:00,1/2/2014 1:00,0.682
1/2/2014 1:00,1/2/2014 2:00,0.706
1/2/2014 2:00,1/2/2014 3:00,0.719
1/2/2014 3:00,1/2/2014 4:00,0.734
1/2/2014 4:00,1/2/2014 5:00,0.731
1/2/2014 5:00,1/2/2014 6:00,0.731
1/2/2014 6:00,1/2/2014 7:00,0.714
1/2/2014 7:00,1/2/2014 8:00,0.708
1/2/2014 8:00,1/2/2014 9:00,0.697
1/2/2014 9:00,1/2/2014 10:00,0.672
1/2/2014 10:00,1/2/2014 11:00,0.642
1/2/2014 11:00,1/2/2014 12:00,0.601
1/2/2014 12:00,1/2/2014 13:00,0.533
1/2/2014 13:00,1/2/2014 14:00,0.47
1/2/2014 14:00,1/2/2014 15:00,0.422
1/2/2014 15:00,1/2/2014 16:00,0.43
1/2/2014 16:00,1/2/2014 17:00,0.452
1/2/2014 17:00,1/2/2014 18:00,0.447
