Max,Min,Mean
0.631,0.538,0.5864333333333334
0.601,0.511,0.5588666666666666
0.589,0.499,0.5478666666666666
0.587,0.492,0.5431666666666666
0.601,0.489,0.5511333333333334
0.664,0.493,0.5953333333333332
0.758,0.521,0.6555333333333332
0.821,0.516,0.7025666666666665
0.856,0.568,0.7413666666666667
0.867,0.604,0.7605333333333333
0.874,0.624,0.7673666666666666
0.878,0.629,0.7685333333333334
0.868,0.629,0.7636666666666668
0.841,0.623,0.7427333333333334
0.826,0.592,0.7217999999999999
0.818,0.572,0.7089000000000001
0.809,0.563,0.7001999999999999
0.799,0.563,0.6908333333333335
0.806,0.58,0.6956666666666667
0.822,0.621,0.7276
0.868,0.683,0.7744333333333333
0.799,0.658,0.7279333333333331
0.734,0.617,0.6737000000000001
0.678,0.571,0.6269333333333333
