Max,Min,Mean
0.718,0.56,0.6721935483870964
0.665,0.541,0.6239354838709679
0.63,0.506,0.5918387096774193
0.615,0.48,0.5774838709677419
0.614,0.472,0.5730967741935484
0.63,0.492,0.5842903225806453
0.697,0.52,0.634032258064516
0.819,0.537,0.7207096774193549
0.901,0.552,0.7781935483870968
0.93,0.596,0.8129354838709675
0.948,0.652,0.8383225806451613
0.945,0.678,0.8418709677419356
0.931,0.68,0.833774193548387
0.923,0.67,0.8320967741935484
0.893,0.658,0.8100322580645162
0.878,0.623,0.7891612903225808
0.87,0.61,0.7779677419354838
0.877,0.619,0.7805806451612903
0.919,0.669,0.8203870967741935
0.95,0.698,0.8544838709677418
0.959,0.714,0.8659032258064517
0.936,0.723,0.8531290322580646
0.865,0.712,0.8019032258064515
0.782,0.665,0.7323870967741936
