Max,Min,Mean
0.626,0.549,0.5959333333333334
0.597,0.524,0.5685333333333332
0.587,0.511,0.5564666666666668
0.586,0.503,0.5534666666666667
0.603,0.504,0.5654000000000001
0.67,0.513,0.6142666666666668
0.785,0.522,0.6903666666666667
0.847,0.538,0.7371
0.868,0.591,0.7717000000000002
0.875,0.636,0.7933666666666669
0.872,0.652,0.7961666666666668
0.862,0.65,0.7937333333333332
0.857,0.661,0.7927666666666667
0.83,0.657,0.7722666666666667
0.821,0.628,0.7544333333333334
0.818,0.61,0.7438
0.831,0.614,0.7523666666666669
0.887,0.671,0.7975666666666669
0.9,0.708,0.8186
0.904,0.726,0.8259666666666667
0.877,0.723,0.8046333333333334
0.811,0.689,0.7520666666666667
0.733,0.642,0.6891
0.678,0.585,0.6391333333333333
