Max,Min,Mean
0.706,0.578,0.6396774193548387
0.666,0.552,0.6084838709677419
0.644,0.541,0.5918709677419357
0.626,0.535,0.5820967741935484
0.627,0.529,0.5835483870967741
0.663,0.533,0.6119999999999999
0.713,0.529,0.6429677419354838
0.774,0.534,0.6849677419354839
0.836,0.572,0.7376451612903226
0.879,0.604,0.7745161290322579
0.911,0.631,0.8017741935483872
0.943,0.649,0.823709677419355
0.968,0.666,0.8407096774193547
0.964,0.676,0.8374193548387094
0.95,0.664,0.8218387096774195
0.944,0.654,0.8139354838709678
0.935,0.648,0.8066774193548384
0.918,0.645,0.7941612903225808
0.904,0.65,0.7836774193548385
0.879,0.665,0.7771290322580645
0.876,0.703,0.7998064516129029
0.858,0.693,0.7725806451612903
0.803,0.657,0.7237096774193548
0.754,0.615,0.6808709677419355
