time,local_time,electricity
1/1/2014 0:00,1/1/2014 1:00,0.325
1/1/2014 1:00,1/1/2014 2:00,0.323
1/1/2014 2:00,1/1/2014 3:00,0.311
1/1/2014 3:00,1/1/2014 4:00,0.309
1/1/2014 4:00,1/1/2014 5:00,0.308
1/1/2014 5:00,1/1/2014 6:00,0.278
1/1/2014 6:00,1/1/2014 7:00,0.249
1/1/2014 7:00,1/1/2014 8:00,0.279
1/1/2014 8:00,1/1/2014 9:00,0.315
1/1/2014 9:00,1/1/2014 10:00,0.31
1/1/2014 10:00,1/1/2014 11:00,0.364
1/1/2014 11:00,1/1/2014 12:00,0.485
1/1/2014 12:00,1/1/2014 13:00,0.516
1/1/2014 13:00,1/1/2014 14:00,0.502
1/1/2014 14:00,1/1/2014 15:00,0.466
1/1/2014 15:00,1/1/2014 16:00,0.451
1/1/2014 16:00,1/1/2014 17:00,0.51
1/1/2014 17:00,1/1/2014 18:00,0.593
1/1/2014 18:00,1/1/2014 19:00,0.618
1/1/2014 19:00,1/1/2014 20:00,0.668
1/1/2014 20:00,1/1/2014 21:00,0.682
1/1/2014 21:00,1/1/2014 22:00,0.692
1/1/2014 22:00,1/1/2014 23:00,0.71
1/1/2014 23:00,1/2/2014 0:00,0.755
1/2/2014 0:00,1/2/2014 1:00,0.751
1/2/2014 1:00,1/2/2014 2:00,0.8
1/2/2014 2:00,1/2/2014 3:00,0.782
1/2/2014 3:00,1/2/2014 4:00,0.773
1/2/2014 4:00,1/2/2014 5:00,0.777
1/2/2014 5:00,1/2/2014 6:00,0.768
1/2/2014 6:00,1/2/2014 7:00,0.761
1/2/2014 7:00,1/2/2014 8:00,0.702
1/2/2014 8:00,1/2/2014 9:00,0.733
1/2/2014 9:00,1/2/2014 10:00,0.742
1/2/2014 10:00,1/2/2014 11:00,0.728
1/2/2014 11:00,1/2/2014 12:00,0.772
1/2/2014 12:00,1/2/2014 13:00,0.808
1/2/2014 13:00,1/2/2014 14:00,0.817
1/2/2014 14:00,1/2/2014 15:00,0.772
1/2/2014 15:00,1/2/2014 16:00,0.78
1/2/2014 16:00,1/2/2014 17:00,0.739
1/2/2014 17:00,1/2/2014 18:00,0.724
1/2/2014 18:00,1/2/2014 19:00,0.722
1/2/2014 19:00,1/2/2014 20:00,0.795
1/2/2014 20:00,1/2/2014 21:00,0.796
1/2/2014 21:00,1/2/2014 22:00,0.775
1/2/2014 22:00,1/2/2014 23:00,0.749
1/2/2014 23:00,1/3/2014 0:00,0.709
1/3/2014 0:00,1/3/2014 1:00,0.718
1/3/2014 1:00,1/3/2014 2:00,0.7
1/3/2014 2:00,1/3/2014 3:00,0.678
1/3/2014 3:00,1/3/2014 4:00,0.678
1/3/2014 4:00,1/3/2014 5:00,0.648
1/3/2014 5:00,1/3/2014 6:00,0.624
1/3/2014 6:00,1/3/2014 7:00,0.561
1/3/2014 7:00,1/3/2014 8:00,0.556
1/3/2014 8:00,1/3/2014 9:00,0.523
1/3/2014 9:00,1/3/2014 10:00,0.516
1/3/2014 10:00,1/3/2014 11:00,0.541
1/3/2014 11:00,1/3/2014 12:00,0.514
1/3/2014 12:00,1/3/2014 13:00,0.451
1/3/2014 13:00,1/3/2014 14:00,0.374
1/3/2014 14:00,1/3/2014 15:00,0.289
1/3/2014 15:00,1/3/2014 16:00,0.223
1/3/2014 16:00,1/3/2014 17:00,0.239
1/3/2014 17:00,1/3/2014 18:00,0.291
1/3/2014 18:00,1/3/2014 19:00,0.335
1/3/2014 19:00,1/3/2014 20:00,0.415
1/3/2014 20:00,1/3/2014 21:00,0.501
1/3/2014 21:00,1/3/2014 22:00,0.615
1/3/2014 22:00,1/3/2014 23:00,0.648
1/3/2014 23:00,1/4/2014 0:00,0.697
1/4/2014 0:00,1/4/2014 1:00,0.697
1/4/2014 1:00,1/4/2014 2:00,0.701
1/4/2014 2:00,1/4/2014 3:00,0.661
1/4/2014 3:00,1/4/2014 4:00,0.447
1/4/2014 4:00,1/4/2014 5:00,0.421
1/4/2014 5:00,1/4/2014 6:00,0.566
1/4/2014 6:00,1/4/2014 7:00,0.697
1/4/2014 7:00,1/4/2014 8:00,0.773
1/4/2014 8:00,1/4/2014 9:00,0.867
1/4/2014 9:00,1/4/2014 10:00,0.936
1/4/2014 10:00,1/4/2014 11:00,0.985
1/4/2014 11:00,1/4/2014 12:00,0.991
1/4/2014 12:00,1/4/2014 13:00,0.978
1/4/2014 13:00,1/4/2014 14:00,0.973
1/4/2014 14:00,1/4/2014 15:00,0.99
1/4/2014 15:00,1/4/2014 16:00,0.987
1/4/2014 16:00,1/4/2014 17:00,0.96
1/4/2014 17:00,1/4/2014 18:00,0.896
1/4/2014 18:00,1/4/2014 19:00,0.768
1/4/2014 19:00,1/4/2014 20:00,0.617
1/4/2014 20:00,1/4/2014 21:00,0.527
1/4/2014 21:00,1/4/2014 22:00,0.51
1/4/2014 22:00,1/4/2014 23:00,0.52
1/4/2014 23:00,1/5/2014 0:00,0.502
1/5/2014 0:00,1/5/2014 1:00,0.433
1/5/2014 1:00,1/5/2014 2:00,0.337
1/5/2014 2:00,1/5/2014 3:00,0.278
1/5/2014 3:00,1/5/2014 4:00,0.22
1/5/2014 4:00,1/5/2014 5:00,0.158
1/5/2014 5:00,1/5/2014 6:00,0.131
1/5/2014 6:00,1/5/2014 7:00,0.154
1/5/2014 7:00,1/5/2014 8:00,0.201
