Max,Min,Mean
0.258,0.01,0.1357741935483871
0.245,0.009,0.12748387096774194
0.236,0.01,0.1247741935483871
0.217,0.011,0.11848387096774195
0.193,0.005,0.0934516129032258
0.193,0.006,0.07258064516129033
0.22,0.005,0.07845161290322579
0.261,0.004,0.08693548387096774
0.312,0.007,0.09022580645161292
0.355,0.006,0.09632258064516128
0.318,0.007,0.10348387096774195
0.302,0.007,0.11032258064516126
0.345,0.012,0.11648387096774193
0.337,0.005,0.12032258064516127
0.328,0.004,0.12051612903225804
0.323,0.005,0.11699999999999999
0.313,0.007,0.10938709677419355
0.284,0.013,0.09974193548387096
0.219,0.026,0.10861290322580645
0.297,0.031,0.13258064516129034
0.332,0.023,0.14464516129032262
0.34,0.013,0.1486774193548387
0.32,0.007,0.1491612903225806
0.281,0.009,0.14603225806451614
