Max,Min,Mean
0.498,0.061,0.31056666666666666
0.484,0.053,0.3104333333333333
0.526,0.05,0.3156
0.503,0.048,0.3144
0.532,0.046,0.3124
0.566,0.025,0.3107666666666667
0.552,0.028,0.2844666666666667
0.568,0.025,0.28143333333333337
0.703,0.031,0.3098666666666667
0.756,0.028,0.33320000000000005
0.733,0.023,0.34979999999999994
0.735,0.021,0.36013333333333325
0.769,0.018,0.3679
0.799,0.014,0.3733
0.783,0.009,0.3678999999999999
0.737,0.006,0.3529333333333333
0.701,0.006,0.3386333333333333
0.653,0.01,0.3429333333333334
0.614,0.017,0.3525666666666666
0.573,0.024,0.3485666666666667
0.561,0.037,0.33843333333333336
0.54,0.056,0.3270666666666667
0.51,0.08,0.3173
0.5,0.072,0.31093333333333334
