Max,Min,Mean
0.671,0.042,0.29230000000000006
0.654,0.036,0.2774999999999999
0.687,0.015,0.2645
0.728,0.016,0.2548666666666667
0.676,0.013,0.24563333333333331
0.635,0.019,0.2361
0.657,0.011,0.22130000000000002
0.485,0.005,0.18116666666666667
0.523,0.002,0.18319999999999997
0.623,0.006,0.21459999999999996
0.66,0.006,0.2373666666666667
0.677,0.008,0.2565666666666667
0.709,0.008,0.2833
0.756,0.008,0.3143333333333333
0.801,0.024,0.3499
0.855,0.055,0.3836333333333332
0.865,0.057,0.4012333333333334
0.827,0.073,0.39019999999999994
0.727,0.067,0.3663666666666667
0.692,0.049,0.35956666666666665
0.675,0.013,0.3497000000000001
0.686,0.017,0.3312
0.69,0.035,0.3204333333333334
0.714,0.037,0.30323333333333324
