Max,Min,Mean
0.876,0.146,0.488
0.926,0.146,0.4849285714285715
0.884,0.165,0.48292857142857143
0.928,0.16,0.47314285714285703
0.918,0.164,0.4661071428571429
0.912,0.161,0.46760714285714283
0.886,0.148,0.4675357142857143
0.894,0.164,0.46799999999999997
0.902,0.122,0.4720357142857143
0.911,0.108,0.48107142857142854
0.91,0.12,0.4981071428571428
0.909,0.138,0.5108928571428571
0.909,0.147,0.5181428571428571
0.902,0.14,0.5178214285714285
0.899,0.124,0.5125357142857143
0.893,0.137,0.51975
0.917,0.196,0.5331785714285714
0.944,0.21,0.5376071428571431
0.934,0.188,0.53275
0.887,0.168,0.5271071428571428
0.851,0.167,0.5169642857142857
0.831,0.156,0.5063214285714286
0.858,0.126,0.49557142857142855
0.868,0.102,0.48478571428571426
