kulutus/kWh;lampotila/C,
50189;6,3
53300;5,86
47074;5,77
44690;5,78
35107;6,4
31330;6,22
35532;6,66
42737;7,4
39337;7,3
40535;7,57
45661;7,98
45080;8,48
43019;8,86
43131;8,85
42368;9,8
40800;9,12
42113;8,93
35595;8,53
39391;7,99
38446;7,79
34101;6,26
30658;3,92
27610;2,86
24618;2,28
21863;1,4
20716;0,9
20680;0,37
20501;-0,4
18529;-0,97
18011;-1,48
21364;-1,8
25762;-2,11
27702;-2,18
32406;-1,71
37054;-0,81
36767;-0,6
37716;0,78
42431;1,25
40698;1,38
47720;1,31
53429;0,74
48529;0,13
53015;-0,49
53341;-0,97
49514;-1,3
47066;-1,62
39615;-2,7
38822;-2,48
34946;-2,92
32648;-3,34
31009;-3,77
29575;-3,99
26419;-4,34
34565;-4,34
46466;-4,38
56669;-4,2
51386;-3,9
46384;-2,21
41502;-1,43
44025;-0,67
44334;-0,27
42875;-0,24
45203;0,1
52286;-0,9
63436;-0,46
59638;-0,94
57549;-1,32
58634;-1,74
55095;-2,13
61732;-2,31
59835;-2,62
56394;-2,92
48295;-3,11
53281;-3,46
47037;-4,2
45389;-3,92
39943;-3,33
42043;-2,92
53999;-2,2
62148;-1,98
55406;-2,13
51041;-1,59
47979;-1,6
40941;-0,2
42952;0,23
43788;0,63
43754;0,77
49877;0,47
57158;-0,12
56627;-0,8
55479;-1,42
53853;-1,83
56874;-2,37
61087;-2,91
58039;-3,39
56332;-3,8
50407;-4,32
57252;-4,79
49597;-5,22
51020;-5,56
45040;-5,98
48282;-6,25
55554;-6,22
66919;-5,9
61083;-5,27
52941;-3,78
51589;-1,94
45728;0,8
47864;0,12
46949;0,41
47483;0,55
52962;0,62
59083;0,57
58759;0,55
53804;0,53
52205;0,
56596;-0,17
61350;0,6
61897;0,4
60466;-0,12
55510;-0,43
52302;-0,74
49767;-1,49
50746;-1,6
43003;-1,61
44046;-1,62
54643;-1,67
64803;-1,47
56438;-1,58
51893;-1,65
49467;-1,36
46120;-0,82
46309;-0,3
47789;-0,4
50809;0,17
55327;0,5
64435;0,2
66363;0,5
61492;0,24
59220;0,29
60813;0,41
65536;0,48
62149;0,64
57030;0,8
56717;0,97
55702;1,23
53420;1,66
52598;1,9
46373;1,92
43442;2,6
56965;2,44
63424;2,68
54690;3,
48377;3,52
48834;3,91
48429;4,31
45622;4,38
45128;4,43
48326;4,76
54135;4,83
62709;4,91
63963;5,9
58385;4,99
59380;4,65
59415;4,61
60018;4,42
56153;4,32
50838;3,83
48129;3,53
51272;3,56
47296;3,58
48533;3,88
38982;4,11
34605;4,16
36601;4,16
43051;4,42
42980;4,98
45537;5,98
49108;5,92
45079;6,15
42002;6,32
44460;6,42
42876;6,87
42161;6,61
44097;6,37
37981;6,71
38312;6,98
34908;6,98
31360;6,94
28103;6,52
25655;6,51
20511;6,2
18964;6,8
18199;5,95
